Distence,Pressure,
2.69,-18.62,18.62
2.7,-18.62,18.62
2.7,-18.61,18.61
2.71,-18.63,18.63
2.72,-18.62,18.62
2.73,-18.62,18.62
2.73,-18.65,18.65
2.74,-18.64,18.64
2.75,-18.64,18.64
2.75,-18.66,18.66
2.76,-18.66,18.66
2.77,-18.66,18.66
2.78,-18.69,18.69
2.78,-18.68,18.68
2.79,-18.67,18.67
2.8,-18.69,18.69
2.81,-18.69,18.69
2.81,-18.69,18.69
2.82,-18.71,18.71
2.83,-18.71,18.71
2.83,-18.7,18.7
2.84,-18.73,18.73
2.85,-18.72,18.72
2.86,-18.72,18.72
2.86,-18.75,18.75
2.87,-18.74,18.74
2.88,-18.73,18.73
2.88,-18.75,18.75
2.89,-18.75,18.75
2.9,-18.75,18.75
2.91,-18.77,18.77
2.92,-18.77,18.77
2.92,-18.76,18.76
2.93,-18.78,18.78
2.94,-18.78,18.78
2.94,-18.78,18.78
2.95,-18.8,18.8
2.96,-18.8,18.8
2.97,-18.79,18.79
2.97,-18.81,18.81
2.98,-18.8,18.8
2.99,-18.8,18.8
2.99,-18.83,18.83
3,-18.82,18.82
3.01,-18.82,18.82
3.02,-18.84,18.84
3.03,-18.84,18.84
3.03,-18.83,18.83
3.04,-18.86,18.86
3.05,-18.85,18.85
3.05,-18.84,18.84
3.06,-18.86,18.86
3.07,-18.86,18.86
3.08,-18.86,18.86
3.08,-18.89,18.89
3.09,-18.88,18.88
3.1,-18.87,18.87
3.1,-18.9,18.9
3.11,-18.89,18.89
3.12,-18.89,18.89
3.13,-18.91,18.91
3.13,-18.9,18.9
3.14,-18.9,18.9
3.15,-18.92,18.92
3.16,-18.92,18.92
3.16,-18.92,18.92
3.17,-18.95,18.95
3.18,-18.94,18.94
3.18,-18.94,18.94
3.19,-18.96,18.96
3.2,-18.96,18.96
3.21,-18.98,18.98
3.22,-19,19
3.22,-18.98,18.98
3.23,-18.99,18.99
3.24,-19,19
3.24,-18.99,18.99
3.25,-19,19
3.26,-19.02,19.02
3.27,-19,19
3.27,-19.02,19.02
3.28,-19.03,19.03
3.29,-19.02,19.02
3.29,-19.03,19.03
3.3,-19.05,19.05
3.31,-19.03,19.03
3.32,-19.04,19.04
3.33,-19.06,19.06
3.33,-19.05,19.05
3.34,-19.06,19.06
3.35,-19.07,19.07
3.35,-19.06,19.06
3.36,-19.08,19.08
3.37,-19.09,19.09
3.38,-19.07,19.07
3.38,-19.09,19.09
3.39,-19.1,19.1
3.4,-19.08,19.08
3.4,-19.1,19.1
3.41,-19.12,19.12
3.42,-19.1,19.1
3.43,-19.11,19.11
3.43,-19.12,19.12
3.44,-19.12,19.12
3.45,-19.13,19.13
3.46,-19.14,19.14
3.46,-19.12,19.12
3.47,-19.14,19.14
3.48,-19.16,19.16
3.48,-19.14,19.14
3.49,-19.16,19.16
3.5,-19.17,19.17
3.51,-19.15,19.15
3.51,-19.17,19.17
3.52,-19.19,19.19
3.53,-19.17,19.17
3.53,-19.18,19.18
3.54,-19.2,19.2
3.55,-19.18,19.18
3.56,-19.2,19.2
3.57,-19.21,19.21
3.57,-19.19,19.19
3.58,-19.21,19.21
3.59,-19.22,19.22
3.59,-19.21,19.21
3.6,-19.23,19.23
3.61,-19.24,19.24
3.62,-19.22,19.22
3.62,-19.23,19.23
3.63,-19.25,19.25
3.64,-19.24,19.24
3.64,-19.25,19.25
3.65,-19.27,19.27
3.66,-19.25,19.25
